Nº Processo,Natureza do Processo,Forma de Cadastramento,Crédito
1471,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
30188,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
23225,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
12983,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
26430,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
4021,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
30986,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
46453,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
37506,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
5936,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
16164,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
46267,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
31480,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
40779,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
13669,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
12500,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
33058,DIGITAL,Automático,Restituição de Pagamento Indevido ou a Maior
37021,DIGITAL,Automático,Restituição de Pagamento Indevido ou a Maior
22482,ELETRÔNICO,Automático,PERES - Restituição de IRPF Não Resgatada no Banco
7204,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
20307,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
194,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
17523,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
17809,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
43882,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
17320,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
7924,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
30406,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
48318,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
30654,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
22561,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
19896,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
21442,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
7057,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
45691,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
4290,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
42207,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
22747,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
2130,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
4461,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
15232,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
5139,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
22488,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
42146,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
33879,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
45876,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
36599,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
8128,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
18722,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
19021,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
42975,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
18030,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
45747,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
18314,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
24035,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
7628,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
25797,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
5110,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
5766,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
23497,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
38826,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
14534,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
17006,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
12763,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
42182,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
14061,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
8100,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
39419,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
26636,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
16758,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
37964,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
32669,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
16086,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
9116,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
9371,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
10218,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
40273,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
12020,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
27517,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
39976,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
21797,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
16709,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
25926,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
32504,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
35980,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
28797,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
31956,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
25473,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
